CEO,Company,Total CEO Pay,Shareholder Return,Median Employee Pay,Year
Sundar Pichai,Alphabet,$280.6 Million,28%,"$258,708 ",2019
Robert Swan,Intel,$66.9 Million,31%,"$96,300 ",2019
Lisa Su,Advanced Micro Devices,$58.5 Million,148%,"$96,874 ",2019
John Plant,Howmet Aerospace,$51.7 Million,84%,"$55,497 ",2019
Robert Iger,Disney,$47.5 Million,13%,"$52,184 ",2019
David Zaslav,Discovery,$45.8 Million,32%,"$79,343 ",2019
Shantanu Narayen,Adobe Systems,$39.1 Million,23%,"$147,115 ",2019
Reed Hastings,Netflix,$38.6 Million,21%,"$202,931 ",2019
Larry J. Merlo,CVS Health,$36.5 Million,17%,"$46,140 ",2019
Brian L. Roberts,Comcast,$36.4 Million,34%,"$78,869 ",2019
D. James Umpleby III,Caterpillar,$34.5 Million,19%,"$65,132 ",2019
Charles Scharf,Wells Fargo,$34.3 Million,21%,"$65,931 ",2019
Michael K. Wirth,Chevron,$33.1 Million,15%,"$140,063 ",2019
Randall L. Stephenson,AT&T,$32.0 Million,46%,"$98,630 ",2019
Greg C. Garland,Phillips 66,$31.9 Million,34%,"$188,738 ",2019
James P. Gorman,Morgan Stanley,$31.6 Million,33%,"$127,414 ",2019
James Dimon,JPMorgan,$31.6 Million,47%,"$80,431 ",2019
Marillyn A. Hewson,Lockheed Martin,$30.9 Million,53%,"$154,883 ",2019
Hamid R. Moghadam,Prologis,$30.4 Million,56%,"$117,751 ",2019
Ryan Michael Lance,ConocoPhillips,$30.4 Million,6.70%,"$186,334 ",2019
Robert A. Kotick,Activision Blizzard,$30.1 Million,29%,"$94,308 ",2019
Daniel O'day,Gilead Sciences,$29.1 Million,8.00%,"$173,264 ",2019
Joseph W. Gorder,Valero Energy,$28.2 Million,31%,"$272,417 ",2019
Thomas A. Fanning,Southern Co.,$27.9 Million,52%,"$167,872 ",2019
Miles D. White,Abbott Labs,$27.8 Million,22%,"$84,434 ",2019
Gary Norcross,Fidelity National Information Services,$27.7 Million,37%,"$59,235 ",2019
Kenneth C. Frazier,Merck,$27.6 Million,22%,"$95,621 ",2019
Jeffery W. Yabuki,Firserv,$27.6 Million,57%,"$65,254 ",2019
Samuel N. Hazen,HCA Healthcare,$26.8 Million,20%,"$56,012 ",2019
Michael F. Neidorff,Centene,$26.4 Million,9.10%,"$68,987 ",2019
Brian T. Moynihan,Bank of America,$26.0 Million,46%,"$94,256 ",2019
Marc Benioff,Salesforce,$26.0 Million,20%,"$167,750 ",2019
Charles H. Robbins,Cisco Systems,$25.8 Million,35%,"$142,593 ",2019
Daniel Schulman,PayPal,$25.8 Million,29%,"$70,405 ",2019
Michael Corbat,Citigroup,$25.5 Million,58%,"$52,988 ",2019
Alex Gorsky,J&J,$25.4 Million,16%,"$76,000 ",2019
Norman Thomas Linebarger,Cummins,$25.1 Million,38%,"$73,480 ",2019
Sheldon G. Adelson,Las Vegas Sands,$24.7 Million,39%,"$42,228 ",2019
David Solomon,Goldman Sachs,$24.7 Million,40%,"$138,854 ",2019
H. Lawrence Culp Jr.,General Electric,$24.6 Million,54%,"$50,471 ",2019
James M. Cracchiolo,Ameriprise,$24.5 Million,64%,"$106,428 ",2019
Alan B. Miller,Universal Health Services,$24.5 Million,24%,"$38,931 ",2019
Laurence Fink,BlackRock,$24.3 Million,32%,"$133,644 ",2019
Alfred F. Kelly Jr.,Visa,$24.3 Million,15%,"$142,494 ",2019
Michael W. Lamach,Trane,$24.2 Million,48%,"$54,757 ",2019
Gary R. Heminger,Marathon Petroleum,$24.1 Million,6.20%,"$27,507 ",2019
Stephen J. Squeri,American Express,$23.8 Million,32%,"$64,803 ",2019
Thomas A. Kennedy,Raytheon,$23.7 Million,n/a,"$141,123 ",2019
Gregory Q. Brown,Motorola Solutions,$23.6 Million,42%,"$93,750 ",2019
Darren W. Woods,Exxon Mobil,$23.5 Million,7.30%,"$173,712 ",2019
Mark Zuckerberg,Facebook,$23.4 Million,57%,"$247,883 ",2019
Ajay Banga,Mastercard,$23.2 Million,59%,"$138,142 ",2019
Steven M. Mollenkopf,Qualcomm,$23.1 Million,10.00%,"$90,259 ",2019
Stephen F. Angel,Linde,$22.5 Million,39%,"$43,216 ",2019
Ari Bousbib,Iqvia,$22.1 Million,33%,"$118,891 ",2019
Andre Calantzopoulos,Philip Morris,$22.1 Million,35%,"$19,134 ",2019
C. Douglas McMillon,Walmart,$22.1 Million,22%,"$22,484 ",2019
James L. Robo,NextEra Energy,$21.9 Million,43%,"$129,735 ",2019
Samuel R. Allen,Deere,$21.7 Million,31%,"$80,267 ",2019
Mary T. Barra,General Motors,$21.6 Million,14%,"$106,715 ",2019
Richard A. Gonzalez,AbbVie,$21.6 Million,1.60%,"$155,885 ",2019
Gregory Hayes,United Technologies,$21.5 Million,44%,"$76,417 ",2019
Leonard S. Schleifer,Regeneron,$21.5 Million,0.50%,"$139,055 ",2019
Christopher J. Nassetta,Hilton,$21.4 Million,55%,"$43,695 ",2019
David A. Ricks,Eli Lilly,$21.3 Million,16%,"$96,290 ",2019
Juan Ramon Alaix,Zoetis,$21.1 Million,56%,"$76,949 ",2019
Chad R. Richison,Paycom,$21.1 Million,116%,"$64,408 ",2019
W. Rodney McMullen,Kroger,$21.1 Million,-2.90%,"$26,790 ",2019
Marc Holliday,SL Green,$21.0 Million,21%,"$71,887 ",2019
Darius Adamczyk,Honeywell,$20.5 Million,37%,"$69,513 ",2019
Jeffrey Steven Sloan,Global Payments,$20.5 Million,77%,"$56,040 ",2019
Evan G. Greenberg,Chubb,$20.5 Million,23%,"$66,372 ",2019
Daniel S. Glaser,Marsh & McLennan,$20.3 Million,42%,"$67,826 ",2019
Kathy J. Warden,Northrop Grumman,$20.3 Million,43%,"$114,667 ",2019
David N. Farr,Emerson Electric,$20.3 Million,-10.00%,"$47,415 ",2019
Virginia M. Rometty,IBM,$20.2 Million,24%,"$56,896 ",2019
Craig Arnold,Eaton,$20.0 Million,43%,"$57,712 ",2019
John Wren,Omnicom,$19.8 Million,14%,"$44,059 ",2019
Jeffrey Walker Martin,Sempra Energy,$19.8 Million,44%,"$145,951 ",2019
James J. Judge,Eversource Energy,$19.8 Million,34%,"$133,899 ",2019
Douglas Baker,Ecolab,$19.8 Million,32%,"$54,234 ",2019
Thomas J. Wilson,Allstate,$19.6 Million,39%,"$61,860 ",2019
Robert A. Bradway,Amgen,$19.6 Million,28%,"$130,904 ",2019
Ajei Gopal,Ansys,$19.6 Million,80%,"$100,100 ",2019
Brian Duperreault,AIG,$19.4 Million,34%,"$67,403 ",2019
David Cordani,Cigna,$19.3 Million,7.70%,"$62,946 ",2019
Kevin R. Johnson,Starbucks,$19.2 Million,59%,"$11,489 ",2019
Stefano Pessina,Walgreens,$19.2 Million,-23%,"$34,074 ",2019
Lip-Bu Tan,Cadence Design,$19.1 Million,60%,"$100,773 ",2019
Olivier Peuch,Schlumberger,$19.1 Million,17%,n/a,2019
John J. Ferriola,Nucor,$19.1 Million,12%,"$87,573 ",2019
Ernie Herrman,TJX,$19.1 Million,21%,"$12,006 ",2019
Marc N. Casper,Thermo Fisher Scientific,$19.0 Million,46%,"$80,915 ",2019
Ludwig Hantson,Alexion Pharma,$18.9 Million,11%,"$237,151 ",2019
Brian C. Cornell,Target,$18.9 Million,56%,"$23,080 ",2019
Scott C. Donnelly,Textron,$18.9 Million,-2.90%,"$99,196 ",2019
David S. Wichmann,UnitedHealth,$18.9 Million,20%,"$54,322 ",2019
Neil Hunn,Roper Technologies,$18.8 Million,34%,"$88,988 ",2019
Andrew Cecere,U.S. Bancorp,$18.8 Million,34%,"$69,775 ",2019
Giovanni Caforio,Bristol-Myers Squibb,$18.8 Million,28%,"$123,365 ",2019
James Quincey,Coca-Cola,$18.7 Million,21%,"$11,285 ",2019
John Haley,Willis Towers Watson,$18.7 Million,35%,"$70,319 ",2019
James M. Loree,Stanley Black & Decker,$18.7 Million,41%,"$43,316 ",2019
Richard K. Templeton,Texas Instruments,$18.6 Million,40%,"$82,034 ",2019
Heather M. Bresch,Mylan,$18.5 Million,-27%,"$43,367 ",2019
Michael F. Roman,3M,$18.3 Million,-4.30%,"$57,494 ",2019
Phebe N. Novakovic,General Dynamics,$18.3 Million,15%,"$116,510 ",2019
Rick Beckwitt,Lennar,$18.3 Million,40%,"$102,830 ",2019
Joseph M. Hogan,Align Technology,$18.3 Million,33%,"$13,756 ",2019
Thomas P. Joyce,Danaher,$18.2 Million,50%,"$74,672 ",2019
Michel Vounatsos,Biogen,$18.2 Million,-1.40%,"$159,721 ",2019
Juan R. Luciano,ADM,$18.1 Million,17%,"$63,981 ",2019
Dirk Van de Put,Mondelez,$18.1 Million,40%,"$32,280 ",2019
Hans Erik Vestberg,Verizon,$18.1 Million,14%,"$172,971 ",2019
James D. Taiclet Jr.,American Tower,$18.1 Million,48%,"$62,745 ",2019
David P. Abney,UPS,$18.0 Million,24%,"$74,395 ",2019
Brian Goldner,Hasbro,$18.0 Million,33%,"$75,729 ",2019
Albert Bourla,Pfizer,$17.9 Million,-6.90%,"$98,972 ",2019
Frank J. Del Rio,Norwegian Cruise Line,$17.8 Million,38%,"$16,925 ",2019
Alan D. Schnitzer,Travelers,$17.8 Million,17%,"$111,170 ",2019
Scott F. Schenkel,eBay,$17.6 Million,31%,"$130,636 ",2019
Sasan K. Goodarzi,Intuit,$17.5 Million,37%,"$157,232 ",2019
Emanuel Chirico,PVH,$17.5 Million,-20%,"$19,472 ",2019
James P. Hackett,Ford,$17.4 Million,30%,"$110,706 ",2019
Edward H. Bastian,Delta Air,$17.3 Million,20%,"$118,198 ",2019
Thomas F. Farrell II,Dominion Energy,$17.3 Million,21%,"$145,136 ",2019
Jeffrey K. Storey,CenturyLink,$17.2 Million,-5.20%,"$71,729 ",2019
Seifollah (Seifi) Ghasemi,Air Products,$17.0 Million,36%,"$61,035 ",2019
Sanjay Mehrotra,Micron,$16.9 Million,-14%,"$60,796 ",2019
Benjamin G. S. Fowke III,Xcel,$16.9 Million,32%,"$113,022 ",2019
Ramon Laguarta,PepsiCo,$16.9 Million,27%,"$45,896 ",2019
Javier Rodriguez,DaVita,$16.9 Million,46%,"$61,536 ",2019
Michele G. Buck,Hershey,$16.8 Million,40%,"$38,099 ",2019
Bruce D. Broussard,Humana,$16.7 Million,29%,"$73,669 ",2019
James A. Squires,Norfolk Southern,$16.6 Million,32%,"$108,348 ",2019
Michael Isor Roth,Interpublic,$16.6 Million,17%,"$71,835 ",2019
Charles J. Meyers,Equinix,$16.6 Million,69%,"$133,688 ",2019
William S. Demchak,PNC,$16.5 Million,41%,"$76,131 ",2019
Robert F. Friel,PerkinElmer,$16.5 Million,24%,"$46,161 ",2019
Michael Sievert,T-Mobile,$16.4 Million,23%,n/a,2019
Greg Creed,Yum Brands,$16.4 Million,11%,"$11,584 ",2019
Walter W. Bettinger II,Charles Schwab,$16.1 Million,16%,"$105,565 ",2019
Brian Niccol,Chipotle,$16.1 Million,94%,"$14,155 ",2019
Travis D. Stice,Diamondback Energy,$16.0 Million,0.90%,"$137,832 ",2019
Vincent A. Forlenza,Becton Dickinson,$16.0 Million,-1.90%,"$42,219 ",2019
Gregory C. Case,AON,$16.0 Million,45%,"$65,497 ",2019
