year,love_at_first_sight,number,studying,super_power,dog_cat,past_future_live,snow_white,favorite_day
First Year,Maybe,8,20,Invisible,Cat,Future,Sleepy,Saturday
Grad ,Yes,3,15,Fly,Dog,Future,Doc,Friday
First Year,No,2,25,Invisible,Dog,Future,Sleepy,Friday
Grad ,No,4,3,Fly,Dog,Future,Grumpy,Friday
Sophomore,No,8,35,Invisible,Neither,Past,Bashful,Saturday
Sophomore,Yes,6,35,Invisible,Dog,Past,Sleepy,Friday
nan,No,4,30,Invisible,Both,Future,Bashful,Friday
First Year,Maybe,8,20,Fly,Dog,Future,Happy,Friday
Junior,Maybe,3,20,Fly,Dog,Future,nan,Friday
First Year,Maybe,9,20,Fly,Both,Future,Happy,Saturday
Sophomore,Yes,3,15,Fly,Neither,Past,Happy,Friday
First Year,No,7,8,Fly,Dog,Past,Sleepy,Saturday
Junior,No,8,20,Invisible,Dog,Future,Dopey,Saturday
Junior,Maybe,7,0,Invisible,Cat,Past,Bashful,Friday
Sophomore,Maybe,4,18,Fly,Dog,Future,Bashful,Friday
Junior,No,8,20,Fly,Dog,nan,nan,Saturday
Sophomore,Maybe,3,10,Fly,Dog,Future,Happy,Friday
First Year,Yes,9,42,Fly,Dog,Future,Sleepy,Friday
Sophomore,Yes,3,80,Invisible,Both,Future,Happy,Friday
First Year,Yes,7,20,Fly,Dog,Past,Bashful,Saturday
Junior,Yes,4,15,Fly,Dog,Future,Sleepy,Saturday
Sophomore,No,4,10,Invisible,Dog,Past,Bashful,Friday
nan,No,4,4,Invisible,Dog,Future,Bashful,Saturday
Junior,No,5,15,Fly,Both,Past,Grumpy,Friday
First Year,No,2,5,Fly,Dog,Future,Sleepy,Friday
First Year,Maybe,6,15,Invisible,Dog,Future,Dopey,Friday
Sophomore,No,2,28,Invisible,Cat,Future,Bashful,Friday
Sophomore,No,5,0,Fly,Neither,Future,nan,Saturday
Sophomore,Maybe,7,28,Fly,Dog,Future,Doc,Friday
Grad ,Maybe,3,8,Fly,Dog,Future,Sleepy,Saturday
Sophomore,Maybe,6,,Fly,Cat,Past,Doc,Friday
First Year,Yes,6,30,Invisible,Cat,Future,Happy,Friday
Sophomore,Yes,7,20,Fly,Dog,Future,Happy,Saturday
Junior,No,8,1,Fly,Both,Past,Sneezy,Thursday
Junior,Maybe,8,15,Invisible,Dog,Past,Sleepy,Saturday
Senior,Maybe,5,25,Fly,Neither,Past,Sleepy,Saturday
Sophomore,Maybe,0,30,Invisible,Cat,Past,Happy,Monday
First Year,No,3,18,Fly,Cat,Past,Doc,Saturday
Junior,Yes,3,15,Invisible,Dog,Past,Dopey,Thursday
Junior,No,8,0,Fly,Dog,Past,Sleepy,Friday
Junior,Yes,3,20,Invisible,Dog,Future,Grumpy,Wednesday
Sophomore,Maybe,2,21,Fly,Dog,Future,Happy,Saturday
Sophomore,Maybe,6,30,Fly,Cat,Past,Happy,Friday
First Year,Maybe,7,15,Fly,Dog,Future,Happy,Saturday
First Year,Maybe,6,25,Fly,Neither,Future,Happy,Friday
Sophomore,Yes,6,30,Fly,Both,Future,Doc,Friday
First Year,No,4,14,Invisible,Cat,Future,Doc,Friday
Sophomore,Yes,7,10,Fly,Dog,Past,nan,Thursday
First Year,No,9,35,Invisible,Dog,Past,Happy,Friday
Sophomore,Maybe,7,0,Fly,Dog,Future,Happy,Friday
Sophomore,Maybe,2,0,Fly,Neither,nan,nan,nan
Sophomore,Yes,8,15,Fly,Dog,Future,Happy,Saturday
First Year,No,8,25,Fly,Dog,Past,Happy,Friday
Sophomore,No,7,35,Fly,Cat,Past,Grumpy,Saturday
First Year,No,7,8,Fly,Dog,Past,Sleepy,Thursday
Senior,Maybe,3,8,Invisible,Both,Past,Doc,Saturday
Junior,No,3.14159265358979,20,Fly,Neither,Future,nan,Saturday
First Year,Maybe,2,20,Invisible,Dog,Past,Sleepy,Friday
Senior,No,3,20,Fly,Dog,Future,Doc,Friday
First Year,No,6,25,Invisible,Cat,Future,Grumpy,Friday
First Year,Yes,5,25,Invisible,Both,Past,Doc,Saturday
First Year,No,2,10,Invisible,Dog,Past,Sneezy,Friday
Senior,No,5,10,Invisible,Dog,Future,Sleepy,Friday
Grad ,No,4,25,Fly,Dog,Future,Happy,Friday
Grad ,Maybe,0,15,Invisible,Cat,Past,Sleepy,Saturday
First Year,No,7,12,Invisible,Dog,Past,Happy,Monday
Junior,Maybe,2,20,Fly,Dog,Future,Dopey,Friday
First Year,No,5,45,Fly,Dog,Past,Grumpy,Saturday
Senior,Yes,7,0,Invisible,Dog,Future,Happy,Saturday
Junior,Maybe,9,40,Invisible,Dog,Future,Bashful,Friday
First Year,Yes,7,10,Invisible,Cat,Future,Sleepy,Friday
Senior,No,8,10,Invisible,Cat,Future,Bashful,Thursday
Sophomore,No,7,25,Invisible,Dog,Future,Sleepy,Friday
Grad ,No,7,10,Fly,Dog,Future,Doc,Saturday
Sophomore,No,9,20,Invisible,Dog,Past,Happy,Friday
