Type,Trait value
AttendanceCost,75891
Review,4.952235534
Ranking,31.04615672
Ranking,0.743275915
Review,2.076659156
Review,3.961358238
Ranking,16.41706788
Review,3.116027863
Ranking,21.34800888
Ranking,30.48647025
Ranking,17.93493191
Review,3.109876518
Ranking,39.77834249
Review,3.182465266
Review,4.878593483
Ranking,9.41507171
Review,2.938691985
Ranking,37.15712627
Ranking,17.7760796
Review,4.699757323
Review,3.786125997
Review,3.232214007
Ranking,30.92689934
Ranking,43.11389405
Ranking,17.64121458
Ranking,27.3683123
Ranking,38.55241594
Ranking,16.34576331
Review,3.7029921
Review,2.994853695
Ranking,22.27806564
Ranking,10.65216961
Ranking,43.77613389
Ranking,0.233873467
Ranking,27.34569635
Ranking,17.51996937
Review,4.101183618
Ranking,3.856661093
Review,4.529724574
Review,3.896132266
Ranking,18.03524601
Ranking,46.27515782
Review,2.594360989
Ranking,4.104191568
Ranking,7.221452052
Ranking,38.19306942
Ranking,0.098338249
Review,3.334571951
Review,4.540344363
Review,4.607264104
Review,3.81838974
Review,4.814497719
Review,2.396348633
Ranking,27.01079873
Review,4.598343099
Review,3.42271466
Review,2.44510699
Ranking,37.68905043
Review,3.448658354
Ranking,44.75461963
Ranking,5.940305939
Ranking,20.05605226
Review,3.895904601
Review,3.351228261
Review,2.313910501
Review,2.774760267
Review,3.13948377
Review,4.56460205
Review,4.922332957
Ranking,4.335755909
Review,4.554777393
Review,2.569917285
Review,4.728076275
Ranking,32.39200276
Ranking,13.58822837
Ranking,9.450227424
Review,2.028229362
Review,3.447415126
Ranking,8.321080749
Review,3.809331715
Review,4.556318819
Ranking,15.4334886
Review,2.135286846
Review,2.936222754
Ranking,3.976792698
Review,3.700895544
Ranking,37.82030559
Review,3.016175181
Ranking,19.51004927
Review,3.63516093
Ranking,40.55877956
Ranking,44.54001869
Review,3.605648952
Ranking,44.05980496
Ranking,28.65594031
Review,4.113004694
Ranking,35.13485539
Ranking,12.22009892
Ranking,38.22142855
Review,4.351473778
Review,3.985169138
Review,2.560532023
Review,3.591207984
Ranking,33.61882746
Ranking,44.50126161
Review,2.027273466
Ranking,26.13927194
Review,3.38910841
Review,4.287480917
Ranking,13.21159772
Review,2.112648114
Review,4.159505177
Review,4.399139194
Ranking,16.82142004
Ranking,23.97805757
Review,3.683139268
Ranking,16.06501096
Review,4.03730846
Ranking,38.9233911
Ranking,7.431454067
Ranking,23.59549824
Review,3.40287207
Review,4.060361236
Ranking,27.89452356
Ranking,19.66810387
Ranking,16.63993548
Ranking,26.42907613
Review,2.997017359
Ranking,6.839422207
Review,2.216468894
Review,3.27101263
Review,3.488020144
Review,2.29779236
Review,4.353516914
Ranking,1.120025985
Review,4.388962369
Review,4.217356718
Ranking,44.44524133
Ranking,2.294569177
Review,2.235010038
Ranking,19.11759828
Review,2.135203419
Review,2.378202347
Review,2.724380751
Ranking,27.64375773
Review,4.188001388
Review,3.277021899
Ranking,44.37814648
Review,4.739769417
Ranking,35.55145416
Ranking,11.82635205
Review,2.415258017
Review,3.48943981
Ranking,21.9496503
Review,3.491463061
Review,3.733195298
Review,4.17784092
Ranking,7.493733831
Ranking,44.37724046
Ranking,42.67178828
Review,3.689826609
Ranking,2.747207821
Review,4.161147308
Review,2.593438513
Ranking,34.87044262
Review,4.896069688
Review,4.798927759
Ranking,18.6513974
Review,4.793353279
Ranking,29.06591796
Review,4.162985774
Ranking,27.15614077
Review,3.18346163
Review,3.869606957
Ranking,5.6563636
Ranking,37.40632115
Review,2.038635778
Ranking,15.23468507
Ranking,23.82843652
Review,2.760779883
Ranking,47.67228389
Review,3.807332808
Review,2.78038192
Review,3.847582438
Ranking,32.07661974
Review,2.19472872
Ranking,30.60786376
Ranking,29.47834496
Review,2.600824746
Review,2.260456015
Review,4.021100243
Ranking,10.83124304
Ranking,44.14094738
Ranking,32.96454472
Review,4.100658873
Review,3.326358226
Ranking,37.85109752
Ranking,8.597565592
Review,4.296086283
Review,4.233730877
Review,3.813352029
Ranking,11.6917432
Ranking,11.82761897
Ranking,47.53889426
Ranking,40.60118593
Review,3.750774111
Review,3.72653198
Review,2.074206915
Review,4.920246612
Review,2.584377944
Ranking,7.446661156
Review,4.87749238
Ranking,25.06182114
Review,4.060999155
Review,3.823388621
Review,4.926604728
Review,3.14289897
Review,3.380802795
Ranking,9.313478883
Review,3.52612605
Ranking,38.55533624
Ranking,37.93323554
Ranking,8.917929246
Ranking,13.06620504
Ranking,46.46710514
Ranking,25.1362746
Review,3.695907759
Ranking,12.7230219
Ranking,48.53888725
Review,4.126622089
Ranking,26.08556891
Review,2.549796074
Review,4.589815957
Review,4.511430983
Review,2.830433974
Review,4.781994127
Review,2.344690173
Review,2.776309235
Ranking,24.50567204
Ranking,2.525949247
Review,2.659413725
Ranking,25.4943876
Review,3.726356093
Review,3.421146261
Ranking,1.133268799
Review,3.180833116
Ranking,44.57751763
Review,3.009845367
Review,3.427631023
Review,2.882271541
Ranking,15.72901142
Review,4.395790843
Review,2.217025232
Ranking,8.474519007
